index,COUNTY
HARRISONBURG,1
GEORGE,1
SHOSHONE,1
JUAB,1
MIFFLIN,1
NEWAYGO,1
HARTLEY,1
DALE,1
HEMPSTEAD,1
LAMPASAS,1
DADE,1
HOOD,1
LOUDON,1
CORTLAND,1
EMMONS,1
GLENN,1
CRISP,1
AUGUSTA,1
MARIPOSA,1
KINGSBURY,1
POWELL,1
BRECKINRIDGE,1
ST. HELENA,1
SUMMERS,1
VAL VERDE,1
HUERFANO,1
PICKAWAY,1
MORRISON,1
TOWNER,1
CHEATHAM,1
CHOWAN,1
ASSUMPTION,1
KARNES,1
COLUSA,1
NORTH SLOPE,1
BARNWELL,1
BETHEL,1
BAYLOR,1
KEOKUK,1
RHEA,1
DENT,1
NEOSHO,1
DOOR,1
GRANVILLE,1
MONGOMERY,1
VEGA BAJA,1
TALBOT,1
DICKSON,1
ROCKDALE,1
INDEPENDENCE,1
MUSSELSHELL,1
GRANITE,1
OVERTON,1
FENTRESS,1
NICOLLET,1
MCDONOUGH,1
WALLOWA,1
ANDREWS,1
MAHASKA,1
AITKIN,1
GREEN LAKE,1
PITT,1
BRYAN,1
ROOKS,1
SHERBURNE,1
BENNINGTON,1
STODDARD,1
BEAR LAKE,1
EASTLAND,1
WAUPACA,1
RABUN,1
FLEMING,1
MONONA,1
ALGER,1
CROSBY,1
COAHOMA,1
DICKEY,1
DUBOIS,1
WEST FELICIANA,1
JO DAVIESS,1
CHILDRESS,1
PRENTISS,1
TREGO,1
CLOUD,1
YALOBUSHA,1
ARENAC,1
STE. GENEVIEVE,1
LEVY,1
AVERY,1
YOAKUM,1
UPSON,1
PRINCE EDWARD,1
DIMMIT,1
PASQUOTANK,1
MILLS,1
GEM,1
BOWMAN,1
WEST CARROLL,1
TRAVERSE,1
POINTE COUPEE,1
DEUEL,1
BACON,1
PONDERA,1
LUMPKIN,1
DANIELS,1
CHESHIRE,1
JAY,1
LAKE OF THE WOODS,1
NOXUBEE,1
MONO,1
SPINK,1
ST. BERNARD,1
OCONEE,1
IZARD,1
RED WILLOW,1
SAINT BERNARD,1
SAWYER,1
BROADWATER,1
MOCA,1
KIMBLE,1
WABASHA,1
HUNTINGTON,1
BUTTS,1
VILAS,1
BROOKS,1
COCKE,1
FERGUS,1
RANDALL,1
BERTIE,1
HOCKLEY,1
MOUNTRAIL,1
TATTNALL,1
PERKINS,1
HAND,1
WAUSHARA,1
COLLINGSWORTH,1
KLEBERG,1
CHENANGO,1
STOKES,1
DAY,1
ELLSWORTH,1
CRAIG,1
VAN ZANDT,1
PRESQUE ISLE,1
CAVALIER,1
ISANTI,1
KOSSUTH,1
CABO ROJO,1
BIENVILLE,1
BENEWAH,1
ROSEAU,1
TISHOMINGO,1
ROUTT,1
PATRICK,1
HICKMAN,1
WAGONER,1
KLAMATH,1
CASTRO,1
DUNN,1
YAZOO,1
KIMBALL,1
BRULE,1
TROUP,1
GILMER,1
WORTH,1
CAMP,1
CHESAPEAKE,1
CAYUGA,1
NOTTOWAY,1
HOOD RIVER,1
IOSCO,1
WASHITA,1
HERKIMER,1
WASATCH,1
MCNAIRY,1
ROBESON,1
BURLESON,1
WYTHE,1
PITKIN,1
MORRILL,1
IDA,1
ERATH,1
PIPESTONE,1
GOGEBIC,1
LARES,1
ALAMANCE,1
GILLESPIE,1
ONTONAGON,1
BARNES,1
AUDUBON,1
HOPEWELL,1
GRAY,1
LETCHER,1
KODIAK ISLAND,1
HARNEY,1
CANNON,1
MARENGO,1
BARREN,1
BATES,1
THAYER,1
PERSON,1
SHARKEY,1
BUENA VISTA,1
HEMPHILL,1
GENTRY,1
BARTHOLOMEW,1
WASHAKIE,1
ST JOSEPH,1
LAMOILLE,1
SHANNON,1
GARRARD,1
WEXFORD,1
EDGAR,1
AUTAUGA,1
TALLAHATCHIE,1
STONEWALL,1
BEAVERHEAD,1
FURNAS,1
SEQUOYAH,1
WELD,1
PEMBINA,1
STANLY,1
WALTHALL,1
CALEDONIA,1
CHISAGO,1
BEADLE,1
OBION,1
ESTILL,1
WAPELLO,1
HERTFORD,1
STILLWATER,1
LAS ANIMAS,1
CHARLTON,1
MECOSTA,1
JENKINS,1
CIDRA,1
OCHILTREE,1
ALPENA,1
ROCKCASTLE,1
IROQUOIS,1
MASSAC,1
ELK,1
