STNAME,CTYNAME,POPESTIMATE2017
South Carolina,Horry County,333268
South Carolina,Jasper County,28458
South Carolina,Kershaw County,65036
South Carolina,Lancaster County,92550
South Carolina,Laurens County,66848
South Carolina,Lee County,17350
South Carolina,Lexington County,290642
South Carolina,McCormick County,9545
South Carolina,Marion County,31293
South Carolina,Marlboro County,26825
South Carolina,Newberry County,38488
South Carolina,Oconee County,77270
South Carolina,Orangeburg County,87476
South Carolina,Pickens County,123479
South Carolina,Richland County,411592
South Carolina,Saluda County,20452
South Carolina,Spartanburg County,306854
South Carolina,Sumter County,106847
South Carolina,Union County,27537
South Carolina,Williamsburg County,31133
South Carolina,York County,266439
Vermont,Vermont,623657
Vermont,Addison County,36776
Vermont,Bennington County,35594
Vermont,Caledonia County,30164
Vermont,Chittenden County,162372
Vermont,Essex County,6230
Vermont,Franklin County,49025
Vermont,Grand Isle County,6998
Vermont,Lamoille County,25337
Vermont,Orange County,28974
Vermont,Orleans County,26841
Vermont,Rutland County,59087
Vermont,Washington County,58290
Vermont,Windham County,42869
Vermont,Windsor County,55100
