,state_id,zip,lat,lng,gym count
32449,AK,99706,64.028,-144.6339,0
32451,ME,4541,43.8957,-69.4767,0
32455,AR,72141,35.5182,-92.6797,0
32464,AR,72666,35.939,-93.2685,0
32469,AR,71711,33.6375,-92.7203,0
32470,AR,72527,35.7399,-91.685,0
32472,LA,70402,30.5162,-90.4702,7
32474,SC,29659,34.2097,-82.647,0
32475,NM,87322,35.525999999999996,-108.6531,0
32498,NJ,8329,39.2773,-75.0019,1
32500,NJ,8064,39.9576,-74.6337,2
32507,AR,71651,33.3176,-92.2823,0
32521,NJ,8074,39.7157,-75.164,1
32522,AR,71999,34.1275,-93.0591,1
32525,NM,88422,36.3469,-103.9994,0
32527,ME,4063,43.5011,-70.3962,249
32536,AR,72428,35.7394,-90.2246,0
32544,LA,71209,32.5291,-92.07,3
32555,MA,1347,42.5614,-72.517,32
32578,LA,70340,29.6698,-91.1054,0
32580,SC,29733,34.9397,-81.0319,16
32581,NM,88430,35.5904,-103.1813,0
32601,AR,72826,35.1229,-93.7093,0
32604,MA,1745,42.2918,-71.5011,85
32605,NM,87939,33.4127,-107.4886,0
32610,ME,4431,44.5621,-68.6704,0
32612,VT,5141,43.1535,-72.5669,0
32619,AR,72457,36.0889,-91.0681,0
32624,MA,1224,42.5066,-73.1975,81
32634,LA,71279,32.4873,-91.8572,0
32637,AR,71661,33.1489,-91.54700000000001,0
32639,ME,4992,44.663000000000004,-70.16,0
32649,NM,87582,36.155,-106.01299999999999,0
32652,NH,3291,43.1792,-71.1427,6
32656,SC,29046,34.1083,-80.1583,0
32675,AR,72181,35.1624,-92.4452,0
32685,NM,88410,35.874,-103.2918,0
32689,AK,99767,65.5022,-150.1513,0
32695,LA,71455,31.405,-92.9794,0
32698,NM,87736,35.9811,-105.1955,0
32704,NM,87533,36.0242,-106.0655,2
32716,SC,29225,33.9962,-81.025,30
32718,NM,87032,34.8513,-106.0114,0
32723,MA,1063,42.318999999999996,-72.639,157
32728,LA,70550,30.5187,-92.1877,0
32730,LA,71345,30.7293,-91.9754,0
32736,NM,88349,32.7643,-105.786,0
32740,AR,72328,34.0541,-91.0204,0
32741,SC,29079,34.2864,-80.1137,0
32742,AR,72383,34.491,-91.0396,
32745,AR,72165,35.5754,-91.4579,
32770,NJ,7870,40.8039,-74.8196,
32771,NJ,7881,41.125,-74.9109,
32772,MA,2584,41.2588,-70.0073,
32775,MA,2643,41.7657,-69.9365,
32797,LA,70163,29.9501,-90.0754,
32798,LA,70139,29.9502,-90.071,
32799,LA,70558,30.1004,-92.0758,
32801,LA,70836,30.391,-91.0906,
32809,LA,70787,30.9631,-91.4431,
32820,NM,88033,32.3195,-107.0289,
32821,SC,29912,32.5826,-80.9307,
32826,NM,87933,32.7902,-107.2779,
32833,NM,88355,33.3632,-105.6685,
32837,NM,88323,33.4948,-105.5275,
32847,SC,29147,34.0919,-80.9663,
32854,AR,72119,34.834,-92.2923,
32860,SC,29338,35.1354,-82.0016,
32861,AR,72059,35.1394,-91.315,
32862,NM,87724,35.1735,-105.0781,
32868,AR,72149,35.2491,-91.7262,
32872,AR,72338,35.4302,-90.1275,
32877,NM,87750,35.8254,-104.9272,
32883,AR,72515,36.2764,-92.0564,
32887,NM,87554,36.4876,-106.0254,
32888,NM,87581,36.5286,-106.1448,
32987,NJ,8890,40.5393,-74.5739,
33019,NJ,7961,40.7806,-74.4327,
33028,NJ,7495,41.1044,-74.1633,
33040,MA,1199,42.1207,-72.6045,
33044,MA,2203,42.3605,-71.0589,
33062,ME,4019,43.6915,-70.0999,
33063,ME,4570,43.8085,-69.6307,
33065,VT,5740,43.9716,-73.1053,
33069,ME,4271,44.2637,-70.4983,
33070,ME,4644,44.4138,-68.2521,
33073,ME,4940,44.6249,-70.0832,
33074,VT,5481,44.7729,-73.2051,
33086,ME,4741,47.4478,-69.1963,
33095,AK,99695,55.9183,-159.4933,
33096,AK,99923,55.9811,-130.0405,
33097,AK,99513,61.2148,-149.8857,
33098,AK,99732,64.0717,-142.0065,
