State,County,MedianIncome
Florida,union,48365
Florida,marion,46538
Florida,hardee,40872
Florida,liberty,52230
Florida,miami-dade,49138
Florida,polk,50944
Florida,indian river,56151
Florida,jefferson,51029
Florida,sarasota,61339
Florida,wakulla,59910
Florida,calhoun,39384
Georgia,newton,56113
Georgia,henry,67683
Georgia,coffee,41964
Georgia,mcintosh,54036
Georgia,taylor,35017
Georgia,bryan,74513
Georgia,dooly,38617
Georgia,emanuel,37388
Georgia,houston,66233
Georgia,oconee,82625
Georgia,taliaferro,36500
Georgia,randolph,35914
Georgia,decatur,42523
Georgia,charlton,50091
Georgia,glascock,49279
Georgia,dodge,50116
Georgia,colquitt,38765
Georgia,schley,52391
Georgia,jefferson,34739
Georgia,terrell,38007
Georgia,appling,44610
Georgia,towns,45707
Georgia,miller,41058
Georgia,tattnall,47204
Georgia,polk,48675
Georgia,spalding,50251
Georgia,greene,51000
Georgia,haralson,49077
Georgia,wilcox,38627
Georgia,catoosa,55768
Georgia,brantley,41975
Georgia,cobb,78058
Georgia,franklin,45934
Georgia,calhoun,39514
Georgia,talbot,38993
Georgia,irwin,50125
Georgia,clay,28352
Georgia,baker,46696
Georgia,crisp,42934
Georgia,dade,50830
Georgia,chatham,55978
Georgia,wilkes,39534
Georgia,candler,42466
Georgia,putnam,51380
Georgia,lee,67319
Georgia,jeff davis,42577
Georgia,bibb,49891
Georgia,lanier,51739
Georgia,seminole,38173
Georgia,bleckley,46594
Georgia,wayne,43465
Georgia,lumpkin,56826
Georgia,turner,34176
Georgia,macon,37668
Georgia,wilkinson,44025
Georgia,early,40732
Georgia,jenkins,35490
Georgia,pickens,59623
Georgia,walker,50683
Georgia,lincoln,42909
Georgia,hart,47473
Georgia,glynn,56221
Georgia,liberty,48756
Georgia,coweta,70163
Georgia,washington county,45757
Georgia,marion,49229
Georgia,banks,51561
Georgia,fulton,75658
Georgia,upson,43590
Georgia,bartow,56223
Georgia,stewart,32566
Georgia,troup,50076
Georgia,ben hill,35307
Georgia,twiggs,35901
Georgia,clayton,45355
Georgia,jones,60290
Georgia,barrow,58892
Georgia,gwinnett,66432
Georgia,morgan,55030
Georgia,madison,50554
Georgia,dawson,60910
Georgia,forsyth,99573
Georgia,chattahoochee,49808
Georgia,mcduffie,44510
Georgia,gilmer,44624
Georgia,jasper,49194
Georgia,long,50522
Georgia,thomas,42835
Georgia,warren,34030
Georgia,carroll,54942
Georgia,sumter,43138
Georgia,pierce,47747
Georgia,clinch,42792
Georgia,fayette,91574
Georgia,pulaski,48257
Georgia,quitman,33333
Georgia,white,51282
Georgia,effingham,69450
Georgia,crawford,48796
Georgia,montgomery,42933
Georgia,ware,46455
Georgia,walton,60249
Georgia,dekalb,60182
Georgia,camden,60101
Georgia,elbert,41387
Georgia,meriwether,43597
Georgia,atkinson,34500
Georgia,hancock,35795
Georgia,clarke,50744
Georgia,lamar,49741
Georgia,echols,41818
Georgia,treutlen,46282
Georgia,peach,52500
Georgia,toombs,46442
Georgia,grady,38759
Georgia,mitchell,41477
Georgia,columbia,77373
Georgia,screven,46591
Georgia,laurens,43935
Georgia,brooks,46973
Georgia,baldwin,48719
Georgia,murray,44811
Georgia,hall,58295
Georgia,cherokee,78328
Georgia,jackson,61088
Georgia,floyd,50563
Georgia,webster,51458
Georgia,evans,46369
Georgia,oglethorpe,57399
Georgia,richmond,46486
Georgia,burke,41707
Georgia,heard,49381
Georgia,muscogee,50999
Georgia,rockdale,58441
Georgia,tift,41712
Georgia,telfair,33608
Georgia,gordon,48810
Georgia,habersham,48610
Georgia,chattooga,40623
Georgia,lowndes,49499
Georgia,wheeler,31556
Georgia,monroe,57440
Georgia,douglas,58918
Georgia,fannin,40855
Georgia,dougherty,38145
Georgia,butts,61761
Georgia,bulloch,52100
Georgia,bacon,48115
Georgia,stephens,46972
Georgia,johnson,43634
Georgia,harris,82259
Georgia,whitfield,45728
Georgia,berrien,42594
Georgia,pike,61309
Georgia,union,47736
Georgia,worth,44411
Georgia,cook,43780
Georgia,rabun,50864
Georgia,paulding,67668
Hawaii,hawaii county,59862
Hawaii,kalawao,88750
Hawaii,kauai,73205
Hawaii,maui,75407
Hawaii,honolulu,85440
Idaho,madison,37385
Idaho,lincoln,47756
Idaho,bonneville,58034
Idaho,bingham,54323
Idaho,clark,33897
Idaho,payette,51998
Idaho,idaho county,44962
Idaho,franklin,56044
Idaho,oneida,46802
Idaho,blaine,76575
Idaho,butte,50000
Idaho,bannock,57079
Idaho,caribou,63545
Idaho,cassia,51608
Idaho,washington county,46690
Idaho,bear lake,49145
Idaho,kootenai,56911
Idaho,camas,46587
Idaho,boise,55586
Idaho,power,45837
Idaho,boundary,44390
Idaho,gooding,45093
Idaho,jerome,46585
Idaho,valley,60100
Idaho,canyon,47302
Idaho,custer,60954
Idaho,clearwater,49267
Idaho,elmore,49157
Idaho,nez perce,58875
Idaho,lemhi,53709
Idaho,benewah,41110
Idaho,adams,42978
Idaho,bonner,49568
Idaho,fremont,51964
Idaho,jefferson,56195
Idaho,lewis,48894
Idaho,minidoka,49733
Idaho,gem,49872
Idaho,latah,60899
Idaho,twin falls,50795
Idaho,ada,67641
Idaho,owyhee,37118
